id,success,parameters,start,end
1,1,PM25,2024-01-01 00:00:00 EDT,2024-01-26 00:00:00 EDT
2,1,PM25,2024-01-26 00:00:00 EDT,2024-02-20 00:00:00 EDT
1,1,PM25,2024-02-20 00:00:00 EDT,2024-03-11 00:00:00 EDT
2,1,PM25,2024-03-11 00:00:00 EDT,2024-03-31 00:00:00 EDT
3,1,PM25,2024-03-31 00:00:00 EDT,2024-04-20 00:00:00 EDT
4,1,PM25,2024-04-20 00:00:00 EDT,2024-05-10 00:00:00 EDT
5,1,PM25,2024-05-10 00:00:00 EDT,2024-05-30 00:00:00 EDT
6,1,PM25,2024-05-30 00:00:00 EDT,2024-06-19 00:00:00 EDT
7,1,PM25,2024-06-19 00:00:00 EDT,2024-07-09 00:00:00 EDT
8,1,PM25,2024-07-09 00:00:00 EDT,2024-07-29 00:00:00 EDT
9,1,PM25,2024-07-29 00:00:00 EDT,2024-08-18 00:00:00 EDT
10,1,PM25,2024-08-18 00:00:00 EDT,2024-09-07 00:00:00 EDT
11,1,PM25,2024-09-07 00:00:00 EDT,2024-09-27 00:00:00 EDT
12,1,PM25,2024-09-27 00:00:00 EDT,2024-10-17 00:00:00 EDT
13,1,PM25,2024-10-17 00:00:00 EDT,2024-11-06 00:00:00 EDT
1,1,PM25,2024-11-06 00:00:00 EDT,2024-11-26 00:00:00 EDT
2,1,PM25,2024-11-26 00:00:00 EDT,2024-12-16 00:00:00 EDT
3,1,PM25,2024-12-16 00:00:00 EDT,2025-01-05 00:00:00 EDT
4,1,PM25,2025-01-05 00:00:00 EDT,2025-01-25 00:00:00 EDT
5,1,PM25,2025-01-25 00:00:00 EDT,2025-02-14 00:00:00 EDT
6,1,PM25,2025-02-14 00:00:00 EDT,2025-03-06 00:00:00 EDT
7,1,PM25,2025-03-06 00:00:00 EDT,2025-03-26 00:00:00 EDT
8,1,PM25,2025-03-26 00:00:00 EDT,2025-04-15 00:00:00 EDT
9,1,PM25,2025-04-15 00:00:00 EDT,2025-05-05 00:00:00 EDT
10,1,PM25,2025-05-05 00:00:00 EDT,2025-05-06 00:00:00 EDT
1,1,PM25,2018-01-01 00:00:00 EDT,2018-01-21 00:00:00 EDT
2,1,PM25,2018-01-21 00:00:00 EDT,2018-02-10 00:00:00 EDT
3,1,PM25,2018-02-10 00:00:00 EDT,2018-03-02 00:00:00 EDT
4,1,PM25,2018-03-02 00:00:00 EDT,2018-03-22 00:00:00 EDT
5,1,PM25,2018-03-22 00:00:00 EDT,2018-04-11 00:00:00 EDT
6,1,PM25,2018-04-11 00:00:00 EDT,2018-05-01 00:00:00 EDT
7,1,PM25,2018-05-01 00:00:00 EDT,2018-05-21 00:00:00 EDT
8,1,PM25,2018-05-21 00:00:00 EDT,2018-06-10 00:00:00 EDT
9,1,PM25,2018-06-10 00:00:00 EDT,2018-06-30 00:00:00 EDT
10,1,PM25,2018-06-30 00:00:00 EDT,2018-07-20 00:00:00 EDT
11,1,PM25,2018-07-20 00:00:00 EDT,2018-08-09 00:00:00 EDT
12,1,PM25,2018-08-09 00:00:00 EDT,2018-08-29 00:00:00 EDT
13,1,PM25,2018-08-29 00:00:00 EDT,2018-09-18 00:00:00 EDT
14,1,PM25,2018-09-18 00:00:00 EDT,2018-10-08 00:00:00 EDT
15,1,PM25,2018-10-08 00:00:00 EDT,2018-10-28 00:00:00 EDT
16,1,PM25,2018-10-28 00:00:00 EDT,2018-11-17 00:00:00 EDT
17,1,PM25,2018-11-17 00:00:00 EDT,2018-12-07 00:00:00 EDT
18,1,PM25,2018-12-07 00:00:00 EDT,2018-12-27 00:00:00 EDT
19,1,PM25,2018-12-27 00:00:00 EDT,2019-01-16 00:00:00 EDT
20,1,PM25,2019-01-16 00:00:00 EDT,2019-02-05 00:00:00 EDT
21,1,PM25,2019-02-05 00:00:00 EDT,2019-02-25 00:00:00 EDT
22,1,PM25,2019-02-25 00:00:00 EDT,2019-03-17 00:00:00 EDT
23,1,PM25,2019-03-17 00:00:00 EDT,2019-04-06 00:00:00 EDT
24,1,PM25,2019-04-06 00:00:00 EDT,2019-04-26 00:00:00 EDT
25,1,PM25,2019-04-26 00:00:00 EDT,2019-05-16 00:00:00 EDT
26,1,PM25,2019-05-16 00:00:00 EDT,2019-06-01 00:00:00 EDT
