id,success,geoid,year
1,1,36061,2023
2,1,36005,2023
3,1,36081,2023
4,1,36047,2023
5,1,36085,2023
6,1,34019,2023
7,1,34027,2023
8,1,34023,2023
9,1,34039,2023
10,1,34029,2023
11,1,34031,2023
12,1,34017,2023
13,1,36087,2023
14,1,34003,2023
15,1,36119,2023
16,1,36103,2023
17,1,36079,2023
18,1,36059,2023
19,1,34025,2023
20,1,34035,2023
21,1,34013,2023
22,1,34037,2023
23,1,36061,2019
24,1,36005,2019
25,1,36081,2019
26,1,36047,2019
27,1,36085,2019
28,1,34019,2019
29,1,34027,2019
30,1,34023,2019
31,1,34039,2019
32,1,34029,2019
33,1,34031,2019
34,1,34017,2019
35,1,36087,2019
36,1,34003,2019
37,1,36119,2019
38,1,36103,2019
39,1,36079,2019
40,1,36059,2019
41,1,34025,2019
42,1,34035,2019
43,1,34013,2019
44,1,34037,2019
45,1,36061,2018
46,1,36005,2018
47,1,36081,2018
48,1,36047,2018
49,1,36085,2018
50,1,34019,2018
51,1,34027,2018
52,1,34023,2018
53,1,34039,2018
54,1,34029,2018
55,1,34031,2018
56,1,34017,2018
57,1,36087,2018
58,1,34003,2018
59,1,36119,2018
60,1,36103,2018
61,1,36079,2018
62,1,36059,2018
63,1,34025,2018
64,1,34035,2018
65,1,34013,2018
66,1,34037,2018
