aqs_id,aqs_id_full,site_name,site_agency,lat,lon,nyc_id
999999901,840999999901,Manhattan Bridge,NYC,40.71651,-73.997004,36061NY08454
999999902,840999999902,Hunts Point,NYC,40.819092,-73.885659,36005NY11790
999999903,840999999903,Glendale,NYC,40.707112785660385,-73.87340006,36081NY08198
999999904,840999999904,Queens College,NYC,40.737107,-73.821556,36081NY09285
999999905,840999999905,Broadway/35th St,NYC,40.75069,-73.98783,36061NY09734
999999906,840999999906,FDR,NYC,40.722288,-73.974651,36061NY08653
999999907,840999999907,Mott Haven,NYC,40.806486,-73.922487,36005NY11534
999999908,840999999908,Cross Bronx Expy,NYC,40.845167,-73.906143,36005NY12387
999999909,840999999909,Van Wyck,NYC,40.690155,-73.80908,36081NY07615
360810124,8.40361E+11,Queens College,NYC,40.737107,-73.821556,36081NY09285B
999999911,840999999911,BQE,NYC,40.702798,-73.960824,36047NY07974
999999912,840999999912,Williamsburg,NYC,40.710614,-73.95938,36047NY08274
999999913,840999999913,Queensboro Bridge,NYC,40.761234,-73.963886,36061NY10130
999999914,840999999914,Williamsburg Bridge,NYC,40.718073,-73.986059,36061NY08552
999999915,840999999915,Hamilton Bridge,NYC,40.846544,-73.933023,36061NY12380
999999916,840999999916,Midtown-DOT,NYC,40.755082,-73.990415,36061NY09929
360050112,8.4036E+11,Port Richmond,NYC,40.627925,-74.145883,36085NY04805
999999918,840999999918,SI Expwy,NYC,40.609209,-74.151182,36085NY03820
