aqs_id_full,distmin,distmed
840090010010,35026.20151743068,81469.6769760892
840090011123,23461.592778231214,84735.98470081687
840090090027,45056.11098404576,109830.50766264366
840090110124,72761.20793809692,174072.45111169037
840340030010,26.9822909649101,22341.50525695349
840340070010,513.2295916005899,133155.62780966074
840340071007,1062.1394634370545,123655.42145509695
840340170008,326.4265257439477,18023.54979196658
840340171003,94.34767427878167,18441.42229185662
840340190001,682.5590085562947,73462.11568776716
840340210005,420.116362346827,82435.53529657537
840340210008,100.96471510641457,88500.64705768562
840340230011,855.9929810372538,53585.03175204247
840340273001,224.71582160917603,60131.49087964578
840340292002,2361.5723645145817,85678.11050451362
840340310005,672.0189108593008,29932.477462542625
840340390004,95.14226355298992,29975.368938337317
840340392003,578.1473065420734,36662.01202438952
840340410007,26.57229731094717,92567.59830377118
840360050080,736.4337651160383,21603.892980781722
840360050110,484.2657122408297,22179.45658401367
840360050112,611.3063411644271,22807.82446670102
840360470052,111.16413839321811,23897.631144626597
840360470118,2821.4696358361725,22288.49278973014
840360610115,246.58480331014002,21626.568166871235
840360610135,850.2993687747944,20874.94438392513
840360710002,979.4349602729286,83669.83841609188
840360810120,166.37135370029432,23899.89487398939
840360810124,446.5340184527069,29006.173135615005
840360850055,691.3578704027675,28423.60889548543
840360850111,664.920836278366,34177.573576261726
840360870005,541.3315965603667,49146.011745060336
840361030009,880.2737764068548,81921.61918080063
840361192004,125.39649125396396,39973.69152410988
840421010048,1488.0690284456864,125390.92066055155
840421010055,5245.929455187799,137210.5989655284
840421010057,1065.6232944932563,131631.32215227414
840421010075,5000.674776526846,114690.19548881167
840999999910,388.8718700061968,29234.01530112574
840999999911,26.707345731353286,20033.651586206222
840999999912,95.93506066790601,20125.71294499477
840999999913,99.46602684466455,20035.632474343416
840999999914,38.75480949438302,18867.761186526877
840999999915,4.187181314656012,21615.724669714014
840999999916,404.10409212731867,18781.08416572185
840999999917,19.64429134215981,28725.248689875312
840999999918,71.07590354268464,29909.884004222306
840999999991,156.6399498872733,18912.495538979278
840999999992,344.7415786298673,22892.606170384715
840999999993,763.7686857629614,25812.29816045343
840999999994,388.8718700061968,29234.01530112574
840999999995,837.82884908648,18810.748643492505
840999999996,14.388568926646368,19250.00582426694
840999999997,40.07925078263197,21337.79747004345
840999999998,20.842639895326435,21518.57918061784
840999999999,35.042532215959824,29816.513012672807
