term,CBD - 1,CBD - 2,CBD - 3,NYC - 1,NYC - 2,NYC - 3,Manhattan - 1,Manhattan - 2,Manhattan - 3
(Intercept),10.008***,6.297***,13.158***,9.986***,4.576***,6.833***,10.041***,6.202***,13.273***
(Intercept),(0.109),(0.341),(0.710),(0.145),(0.440),(0.934),(0.114),(0.355),(0.724)
I(treated * as.numeric((date - cutoff))),-0.013***,-0.039***,-0.037***,-0.013***,-0.039***,-0.037***,-0.013***,-0.040***,-0.038***
I(treated * as.numeric((date - cutoff))),(0.002),(0.002),(0.002),(0.003),(0.003),(0.003),(0.002),(0.002),(0.002)
I(date - cutoff),-0.002**,-0.004***,-0.004***,-0.001,-0.004***,-0.004***,-0.001*,-0.004***,-0.004***
I(date - cutoff),(0.001),(0.000),(0.000),(0.001),(0.001),(0.001),(0.001),(0.001),(0.001)
treatedTRUE,1.127***,4.890***,4.934***,0.711**,4.908***,4.872***,1.005***,4.819***,4.872***
treatedTRUE,(0.204),(0.224),(0.219),(0.271),(0.289),(0.282),(0.213),(0.233),(0.227)
temp,,0.069***,0.058***,,0.069***,0.063***,,0.071***,0.060***
temp,,(0.003),(0.003),,(0.004),(0.004),,(0.003),(0.003)
humidity,,0.020***,0.053***,,0.055***,0.077***,,0.020***,0.052***
humidity,,(0.004),(0.004),,(0.006),(0.006),,(0.004),(0.005)
windspeed,,-0.302***,-0.328***,,-0.318***,-0.304***,,-0.298***,-0.331***
windspeed,,(0.013),(0.013),,(0.018),(0.018),,(0.014),(0.013)
precip,,6.679+,2.448,,7.222,2.516,,7.201+,3.453
precip,,(3.970),(3.900),,(5.198),(5.123),,(4.125),(4.045)
cloudcover,,0.006**,-0.008***,,-0.015***,-0.021***,,0.006**,-0.008***
cloudcover,,(0.002),(0.002),,(0.002),(0.003),,(0.002),(0.002)
pop,,,0.000,,,0.002***,,,0.000
pop,,,(0.000),,,(0.000),,,(0.000)
median_income,,,0.000***,,,0.000***,,,0.000***
median_income,,,(0.000),,,(0.000),,,(0.000)
black,,,-3.608***,,,-2.082**,,,-2.686***
black,,,(0.552),,,(0.681),,,(0.567)
asian,,,-1.033+,,,-0.129,,,-0.934
asian,,,(0.626),,,(0.677),,,(0.638)
hisplat,,,-4.604***,,,-3.969***,,,-5.238***
hisplat,,,(0.503),,,(0.593),,,(0.534)
Num.Obs.,12212,12121,12121,6530,6474,6474,11178,11087,11087
R2,0.006,0.126,0.167,0.006,0.169,0.209,0.005,0.129,0.173
R2 Adj.,0.005,0.126,0.166,0.006,0.168,0.207,0.005,0.128,0.172
AIC,74632.5,72499.4,71935.3,39552.8,38049.6,37743.3,68284.6,66249.5,65681.3
BIC,74669.6,72573.4,72046.4,39586.7,38117.3,37844.9,68321.2,66322.6,65791.0
Log.Lik.,-37311.268,-36239.698,-35952.674,-19771.400,-19014.787,-18856.640,-34137.313,-33114.730,-32825.659
RMSE,5.14,4.81,4.70,5.00,4.56,4.45,5.13,4.80,4.67
