term,vif,model
treated,1.62,1
factor(week),1.06,1
factor(day),1.01,1
sqrt(bgmean),1.72,1
sqrt(distmin + 1),1.14,1
log(temp),6.66,1
humidity,3.2,1
windspeed,1.69,1
precip,1.48,1
cloudcover,2.6,1
log(pop_density + 1),2.05,1
log(median_income + 1),4.86,1
nonwhite,4.09,1
hisplat,2.79,1
treated,1.68,2
factor(week),1.06,2
factor(day),1.01,2
sqrt(bgmean),1.76,2
sqrt(distmin + 1),1.18,2
log(temp),6.95,2
humidity,3.15,2
windspeed,1.81,2
precip,1.53,2
cloudcover,2.66,2
log(pop_density + 1),1.18,2
log(median_income + 1),5.59,2
nonwhite,3.56,2
hisplat,3.13,2
treated,1.81,3
factor(week),1.07,3
factor(day),1.02,3
sqrt(bgmean),1.89,3
sqrt(distmin + 1),7.69,3
log(temp),6.72,3
humidity,4.36,3
windspeed,2.06,3
precip,1.61,3
cloudcover,3.49,3
log(pop_density + 1),4.92,3
log(median_income + 1),3.55,3
